timestamp,question_id,expected_responses,received_responses,delivery_rate

2025-04-04T19:28:52.215Z,m9368kzk-iikd,5,5,100.0%
2025-04-06T09:14:51.634Z,m95fdrma-a1kv,1,1,100.0%
2025-04-06T09:15:36.019Z,m95fdrmm-1kmv,1,2,200.0%
2025-04-06T09:16:42.313Z,m95fgkam-kznj,1,1,100.0%
2025-04-06T09:16:52.336Z,m95fgkav-bxj1,1,2,200.0%
2025-04-06T09:57:27.912Z,m95gx5uh-7c33,1,1,100.0%
2025-04-06T09:57:37.151Z,m95gx5uy-bki2,1,2,200.0%
2025-04-06T10:07:59.206Z,m95h6bm9-2pse,1,1,100.0%
2025-04-06T10:08:09.646Z,m95h6bmh-jwho,1,2,200.0%
2025-04-06T10:22:06.949Z,m95hteik-dx3p,1,1,100.0%
2025-04-06T10:22:40.121Z,m95hteix-l4s0,1,3,300.0%
2025-04-06T10:25:14.703Z,m95hx98t-je80,1,1,100.0%
2025-04-06T10:28:59.077Z,m95hx991-knlm,1,0,0.0%
2025-04-06T10:29:44.602Z,m95i2qe6-c3vg,1,1,100.0%
2025-04-06T10:29:47.922Z,m95i2qeg-ijph,1,0,0.0%
2025-04-06T10:31:29.519Z,m95i5nd4-8ny,1,1,100.0%
2025-04-06T10:31:39.915Z,m95i5ndf-i7s1,1,3,300.0%
2025-04-06T10:32:28.113Z,m95i6dq5-f115,1,1,100.0%
2025-04-06T10:32:40.397Z,m95i6dqh-l7gn,1,4,400.0%
